request,Candidate:token,Candidate:id,Candidate,Candidate_Entity:token,Candidate_Entity:id,Candidate_Entity,Specific_Party:token,Specific_Party:id,Specific_Party,General_Party:token,General_Party:id,General_Party,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,Election_Type:token,Election_Type:id,Election_Type,Office_Sought:token,Office_Sought:id,Office_Sought,Election_Status:token,Election_Status:id,Election_Status,Incumbency_Status:token,Incumbency_Status:id,Incumbency_Status,#_of_Records,Total_$
s=AL&y=2014&f-core=1&c-t-id=165416,c-t-id,165416,"IVEY, KAY E",c-t-eid,6583997,"IVEY, KAY E",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,9187,LIEUTENANT GOVERNOR,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,1797,1006382.01
s=AL&y=2014&f-core=1&c-t-id=164584,c-t-id,164584,"DIAL, GERALD",c-t-eid,6381436,"DIAL, GERALD",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,231,SENATE DISTRICT 013,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,415,952363.56
s=AL&y=2014&f-core=1&c-t-id=164466,c-t-id,164466,"BEDFORD, ROGER",c-t-eid,6370806,"BEDFORD, ROGER",c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,224,SENATE DISTRICT 006,c-t-ftsts,Lost-General,Lost-General,c-t-ico,I,Incumbent,688,838356.6
s=AL&y=2014&f-core=1&c-t-id=164613,c-t-id,164613,"WHATLEY, THOMAS M",c-t-eid,6998370,"WHATLEY, THOMAS M",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,245,SENATE DISTRICT 027,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,588,778137.24
s=AL&y=2014&f-core=1&c-t-id=165511,c-t-id,165511,"BROOKE, WILL",c-t-eid,22027756,"BROOKE, WILL",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,14981,US HOUSE DISTRICT AL 006,c-t-ftsts,Lost-Primary,Lost-Primary,c-t-ico,O,Open,614,700985.6
s=AL&y=2014&f-core=1&c-t-id=165504,c-t-id,165504,"MATHIS, CHAD E",c-t-eid,18360697,"MATHIS, CHAD E",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,14981,US HOUSE DISTRICT AL 006,c-t-ftsts,Lost-Primary,Lost-Primary,c-t-ico,O,Open,471,683078.5
s=AL&y=2014&f-core=1&c-t-id=165496,c-t-id,165496,"BYRNE, BRADLEY R",c-t-eid,6583839,"BYRNE, BRADLEY R",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,14976,US HOUSE DISTRICT AL 001,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,457,618892.19
s=AL&y=2014&f-core=1&c-t-id=165502,c-t-id,165502,"BROOKS, MO",c-t-eid,6668470,"BROOKS, MO",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,14980,US HOUSE DISTRICT AL 005,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,510,610575.19
s=AL&y=2014&f-core=1&c-t-id=164507,c-t-id,164507,"STEWART, TAYLOR",c-t-eid,6986125,"STEWART, TAYLOR",c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,230,SENATE DISTRICT 012,c-t-ftsts,Lost-General,Lost-General,c-t-ico,C,Challenger,117,602879.15
s=AL&y=2014&f-core=1&c-t-id=164623,c-t-id,164623,"CHAMBLISS JR, CLYDE",c-t-eid,21273424,"CHAMBLISS JR, CLYDE",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,248,SENATE DISTRICT 030,c-t-ftsts,Won-General,Won-General,c-t-ico,O,Open,562,588733.32
s=AL&y=2014&f-core=1&c-t-id=164575,c-t-id,164575,"MCCLENDON, JIM",c-t-eid,21273378,"MCCLENDON, JIM",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,229,SENATE DISTRICT 011,c-t-ftsts,Won-General,Won-General,c-t-ico,O,Open,340,587010.92
s=AL&y=2014&f-core=1&c-t-id=165424,c-t-id,165424,"MERRILL, JOHN H",c-t-eid,12997440,"MERRILL, JOHN H",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,9186,SECRETARY OF STATE,c-t-ftsts,Won-General,Won-General,c-t-ico,O,Open,1089,580186.56
s=AL&y=2014&f-core=1&c-t-id=164571,c-t-id,164571,"WILLIAMS, PHIL",c-t-eid,6688494,"WILLIAMS, PHIL",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,228,SENATE DISTRICT 010,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,328,571526.84
s=AL&y=2014&f-core=1&c-t-id=164744,c-t-id,164744,"WILLIAMS, JACK",c-t-eid,12997400,"WILLIAMS, JACK",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,160,HOUSE DISTRICT 047,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,492,567363
s=AL&y=2014&f-core=1&c-t-id=164601,c-t-id,164601,"ALLEN, GERALD",c-t-eid,6568032,"ALLEN, GERALD",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,239,SENATE DISTRICT 021,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,408,539821.07
s=AL&y=2014&f-core=1&c-t-id=164541,c-t-id,164541,"MELSON, TIM",c-t-eid,21273345,"MELSON, TIM",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,219,SENATE DISTRICT 001,c-t-ftsts,Won-General,Won-General,c-t-ico,O,Open,402,532568.41
s=AL&y=2014&f-core=1&c-t-id=164626,c-t-id,164626,"HOLLEY, JIMMY W",c-t-eid,6373006,"HOLLEY, JIMMY W",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,249,SENATE DISTRICT 031,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,381,494993.59
s=AL&y=2014&f-core=1&c-t-id=182518,c-t-id,182518,"STUTTS, LARRY C",c-t-eid,7047990,"STUTTS, LARRY C",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,224,SENATE DISTRICT 006,c-t-ftsts,Won-General,Won-General,c-t-ico,C,Challenger,220,486815.11
s=AL&y=2014&f-core=1&c-t-id=164659,c-t-id,164659,"BUTTRAM, MAC",c-t-eid,6688222,"BUTTRAM, MAC",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,125,HOUSE DISTRICT 012,c-t-ftsts,Lost-Primary Runoff,Lost-Primary Runoff,c-t-ico,I,Incumbent,317,482015.4
s=AL&y=2014&f-core=1&c-t-id=164547,c-t-id,164547,"ORR, ARTHUR",c-t-eid,13010998,"ORR, ARTHUR",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,221,SENATE DISTRICT 003,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,609,480888.35
s=AL&y=2014&f-core=1&c-t-id=164548,c-t-id,164548,"BUSSMAN, PAUL",c-t-eid,6688447,"BUSSMAN, PAUL",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,222,SENATE DISTRICT 004,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,423,478041.84
s=AL&y=2014&f-core=1&c-t-id=165422,c-t-id,165422,"MCKINNEY JR, REESE H",c-t-eid,12465325,"MCKINNEY JR, REESE H",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,9186,SECRETARY OF STATE,c-t-ftsts,Lost-Primary Runoff,Lost-Primary Runoff,c-t-ico,O,Open,1148,461075.87
s=AL&y=2014&f-core=1&c-t-id=164700,c-t-id,164700,"FORD, CRAIG",c-t-eid,12997367,"FORD, CRAIG",c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,141,HOUSE DISTRICT 028,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,312,456384.91
s=AL&y=2014&f-core=1&c-t-id=182527,c-t-id,182527,"SMITH, HARRI ANNE",c-t-eid,13011047,"SMITH, HARRI ANNE",c-t-pt,62,INDEPENDENT,c-t-p,3,Third-Party,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,247,SENATE DISTRICT 029,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,165,455318.78
s=AL&y=2014&f-core=1&c-t-id=164502,c-t-id,164502,"MEANS, LARRY",c-t-eid,21270108,"MEANS, LARRY",c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,228,SENATE DISTRICT 010,c-t-ftsts,Lost-General,Lost-General,c-t-ico,C,Challenger,273,450521.02
s=AL&y=2014&f-core=1&c-t-id=165430,c-t-id,165430,"BEEKER JR, CHRIS (CHIP)",c-t-eid,22025638,"BEEKER JR, CHRIS (CHIP)",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,9551,PUBLIC SERVICE COMMISSIONER-002,c-t-ftsts,Won-General,Won-General,c-t-ico,O,Open,268,433954.93
s=AL&y=2014&f-core=1&c-t-id=164561,c-t-id,164561,"LIVINGSTON, STEVE",c-t-eid,21273364,"LIVINGSTON, STEVE",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,226,SENATE DISTRICT 008,c-t-ftsts,Won-General,Won-General,c-t-ico,O,Open,252,428767.35
s=AL&y=2014&f-core=1&c-t-id=165282,c-t-id,165282,"MOORE, BARRY",c-t-eid,12997504,"MOORE, BARRY",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,204,HOUSE DISTRICT 091,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,263,428084.36
s=AL&y=2014&f-core=1&c-t-id=165431,c-t-id,165431,"ODEN, JEREMY H",c-t-eid,12997317,"ODEN, JEREMY H",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,9264,PUBLIC SERVICE COMMISSIONER,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,166,416252.24
s=AL&y=2014&f-core=1&c-t-id=164528,c-t-id,164528,"BEASLEY, BILL",c-t-eid,21273335,"BEASLEY, BILL",c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,246,SENATE DISTRICT 028,c-t-ftsts,Won-General,Won-General,c-t-ico,O,Open,190,397300
s=AL&y=2014&f-core=1&c-t-id=164588,c-t-id,164588,"WAGGONER, J T (JABO)",c-t-eid,6572397,"WAGGONER, J T (JABO)",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,234,SENATE DISTRICT 016,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,229,389519.89
s=AL&y=2014&f-core=1&c-t-id=164586,c-t-id,164586,"WARD, ROBERT CAMERON",c-t-eid,6578066,"WARD, ROBERT CAMERON",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,232,SENATE DISTRICT 014,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,411,379822.85
s=AL&y=2014&f-core=1&c-t-id=164694,c-t-id,164694,"AINSWORTH, WILL",c-t-eid,21346968,"AINSWORTH, WILL",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,140,HOUSE DISTRICT 027,c-t-ftsts,Won-General,Won-General,c-t-ico,O,Open,234,379245.53
s=AL&y=2014&f-core=1&c-t-id=164589,c-t-id,164589,"SHELNUTT, SHAY",c-t-eid,21273391,"SHELNUTT, SHAY",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,235,SENATE DISTRICT 017,c-t-ftsts,Won-General,Won-General,c-t-ico,O,Open,214,376377.48
s=AL&y=2014&f-core=1&c-t-id=165417,c-t-id,165417,"COOKE, STANLEY K",c-t-eid,18974622,"COOKE, STANLEY K",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,9187,LIEUTENANT GOVERNOR,c-t-ftsts,Lost-Primary,Lost-Primary,c-t-ico,C,Challenger,135,375350
s=AL&y=2014&f-core=1&c-t-id=164552,c-t-id,164552,"REED, GREG",c-t-eid,13011008,"REED, GREG",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,223,SENATE DISTRICT 005,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,415,367945.34
s=AL&y=2014&f-core=1&c-t-id=164675,c-t-id,164675,"MORROW, JOHNNY MACK",c-t-eid,12997341,"MORROW, JOHNNY MACK",c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,131,HOUSE DISTRICT 018,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,210,340979.29
s=AL&y=2014&f-core=1&c-t-id=164574,c-t-id,164574,"FIELDING, JERRY L",c-t-eid,13011025,"FIELDING, JERRY L",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,229,SENATE DISTRICT 011,c-t-ftsts,Lost-Primary,Lost-Primary,c-t-ico,I,Incumbent,235,340165.66
s=AL&y=2014&f-core=1&c-t-id=164624,c-t-id,164624,"GARNER, HARRIS",c-t-eid,21273425,"GARNER, HARRIS",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,248,SENATE DISTRICT 030,c-t-ftsts,Lost-Primary Runoff,Lost-Primary Runoff,c-t-ico,O,Open,371,339904.62
s=AL&y=2014&f-core=1&c-t-id=164616,c-t-id,164616,"MCCLENDON, MELINDA",c-t-eid,21273417,"MCCLENDON, MELINDA",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,247,SENATE DISTRICT 029,c-t-ftsts,Lost-General,Lost-General,c-t-ico,C,Challenger,163,338879.26
s=AL&y=2014&f-core=1&c-t-id=164608,c-t-id,164608,"ALBRITTON, GREG",c-t-eid,6568015,"ALBRITTON, GREG",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,240,SENATE DISTRICT 022,c-t-ftsts,Won-General,Won-General,c-t-ico,O,Open,159,316730.83
s=AL&y=2014&f-core=1&c-t-id=164556,c-t-id,164556,"SANFORD, PAUL L",c-t-eid,6688469,"SANFORD, PAUL L",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,225,SENATE DISTRICT 007,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,209,314196.54
s=AL&y=2014&f-core=1&c-t-id=164587,c-t-id,164587,"BLACKWELL, SLADE",c-t-eid,21273389,"BLACKWELL, SLADE",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,233,SENATE DISTRICT 015,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,488,301260.82
s=AL&y=2014&f-core=1&c-t-id=164697,c-t-id,164697,"BUTLER, MACK N",c-t-eid,15881718,"BUTLER, MACK N",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,143,HOUSE DISTRICT 030,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,221,300359.12
s=AL&y=2014&f-core=1&c-t-id=164683,c-t-id,164683,"LEDBETTER, NATHANIEL",c-t-eid,21339292,"LEDBETTER, NATHANIEL",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,137,HOUSE DISTRICT 024,c-t-ftsts,Won-General,Won-General,c-t-ico,O,Open,192,295304
s=AL&y=2014&f-core=1&c-t-id=164632,c-t-id,164632,"HIGHTOWER, WILLIAM CHARLES",c-t-eid,16818825,"HIGHTOWER, WILLIAM CHARLES",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,253,SENATE DISTRICT 035,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,299,291176.67
s=AL&y=2014&f-core=1&c-t-id=165279,c-t-id,165279,"BOOTHE, ALAN C",c-t-eid,12997498,"BOOTHE, ALAN C",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,202,HOUSE DISTRICT 089,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,169,281454.47
s=AL&y=2014&f-core=1&c-t-id=164650,c-t-id,164650,"JOHNSON, KEN",c-t-eid,12997307,"JOHNSON, KEN",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,120,HOUSE DISTRICT 007,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,201,279054.86
s=AL&y=2014&f-core=1&c-t-id=164651,c-t-id,164651,"COLLINS, TERRI",c-t-eid,6688205,"COLLINS, TERRI",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,121,HOUSE DISTRICT 008,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,316,273039.1
s=AL&y=2014&f-core=1&c-t-id=165383,c-t-id,165383,"MCMILLAN, JOHN",c-t-eid,6668527,"MCMILLAN, JOHN",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,9183,AGRICULTURE COMMISSIONER,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,408,270179.9
s=AL&y=2014&f-core=1&c-t-id=173945,c-t-id,173945,"HOLTZCLAW, BILL",c-t-eid,6688439,"HOLTZCLAW, BILL",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,220,SENATE DISTRICT 002,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,222,267426
s=AL&y=2014&f-core=1&c-t-id=164678,c-t-id,164678,"JOHNSON, WAYNE",c-t-eid,6688255,"JOHNSON, WAYNE",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,135,HOUSE DISTRICT 022,c-t-ftsts,Lost-Primary,Lost-Primary,c-t-ico,I,Incumbent,154,263026.84
s=AL&y=2014&f-core=1&c-t-id=164677,c-t-id,164677,"PATTERSON, JIM",c-t-eid,12997346,"PATTERSON, JIM",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,134,HOUSE DISTRICT 021,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,263,261595.91
s=AL&y=2014&f-core=1&c-t-id=165286,c-t-id,165286,"CLOUSE, STEVE",c-t-eid,6568687,"CLOUSE, STEVE",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,206,HOUSE DISTRICT 093,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,327,258530.12
s=AL&y=2014&f-core=1&c-t-id=165267,c-t-id,165267,"VANCE, LESLEY",c-t-eid,12997476,"VANCE, LESLEY",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,193,HOUSE DISTRICT 080,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,192,254562.01
s=AL&y=2014&f-core=1&c-t-id=164627,c-t-id,164627,"MOORE, GARRETH",c-t-eid,21273428,"MOORE, GARRETH",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,249,SENATE DISTRICT 031,c-t-ftsts,Lost-Primary,Lost-Primary,c-t-ico,C,Challenger,19,250300
s=AL&y=2014&f-core=1&c-t-id=165326,c-t-id,165326,"HUNTER, MARY SCOTT",c-t-eid,13010464,"HUNTER, MARY SCOTT",c-t-pt,139,REPUBLICAN,c-t-p,2,Republican,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,9547,BOARD OF EDUCATION DISTRICT 008,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,259,242916.06
s=AL&y=2014&f-core=1&c-t-id=164511,c-t-id,164511,"SMITHERMAN, RODGER M",c-t-eid,6375492,"SMITHERMAN, RODGER M",c-t-pt,33,DEMOCRATIC,c-t-p,1,Democratic,s,AL,AL,y,2014,2014,c-r-t,1,Standard,c-r-osid,236,SENATE DISTRICT 018,c-t-ftsts,Won-General,Won-General,c-t-ico,I,Incumbent,117,242634.3
