"CandidateName","Party","Office","District","Place","CommitteeStatus","CommitteeID"
"Blackwell, Mark","Republican","State Senator","Senate District 15","","Active","24979"
"Blair, David","Republican","State Senator","Senate District 7","","Active","25505"
"Blankenship, Joel","Republican","Tax Assessor","Jefferson County","","Active","25593"
"Boman, Daniel","Democrat","State Representative","House District 16","","Active","25143"
"Bonner, James","Republican","State Representative","House District 17","","Active","25734"
"Boohaker, Charles","Democrat","Circuit Court Judge","10Th Judicial Circuit","10","Active","25715"
"Boohaker, Joseph","Democrat","Circuit Court Judge","10Th Judicial Circuit","","Active","25464"
"Boothe, Alan","Republican","State Representative","House District 89","","Active","25338"
"Boozer, Young","Republican","State Treasurer","","","Active","25010"
"Bosch, Carmen","Republican","Circuit Court Judge","28Th Judicial Circuit","","Active","25090"
"Boyd, Barbara","Democrat","State Representative","House District 32","","Active","25155"
"Bracy, Napoleon","Democrat","State Representative","House District 98","","Active","25119"
"Brewbaker, Dick","Republican","State Senator","Senate District 25","","Active","25159"
"Brock, Charles","Democrat","Sheriff","Conecuh County","","Active","25407"
"Brock, Jeffrey","Democrat","District Court Judge","Conecuh County","1","Active","25410"
"Brooks, Brian","Independent","County Board Of Education","Madison County","3","Active","25770"
"Broussard, Robert","Republican","District Attorney","23Rd Judicial Circuit","","Active","25405"
"Brown, Jonathan","Democrat","District Court Judge","Lamar County","24","Active","25702"
"Brown, Koven","Republican","State Representative","House District 40","","Active","25036"
"Brown, Phillip","Republican","Public Service Commissioner","Place 2","","Active","25397"
"Bryan, Tommy","Republican","Supreme Court Associate Justice","Place 1","","Active","25479"
"Burdine, Gregory","Democrat","State Representative","House District 1","","Active","25229"
"Burke, Liles","Republican","Court Of Criminal Appeals Judge","Place 2","","Active","25438"
"Burns, Sherry","Republican","District Court Judge","Blount County","1","Active","25497"
"Burns, William","Democrat","State Representative","House District 37","","Active","25471"
"Burt, Thomas","Republican","County Commissioner","Baldwin County","","Active","25518"
"Bush, John","Republican","Circuit Court Judge","19Th Judicial Circuit","1","Active","25296"
"Buskey, James","Democrat","State Representative","House District 99","","Active","25156"
"Bussman, Paul","Republican","State Senator","Senate District 4","","Active","25085"
"Butler, Mack","Republican","State Representative","House District 30","","Active","25038"
"Buttram, Marvin","Republican","State Representative","House District 12","","Active","25144"
"Cain, Greg","Republican","Probate Judge","Morgan County","","Active","25470"
"Campbell, Katy","Democrat","District Court Judge","Macon County","5","Active","25755"
"Carmichael, Ralph","Republican","State Representative","House District 103","","Active","25620"
"Carmichael, Ralph","Republican","State Representative","House District 104","","Active","25289"
"Carns, Jim","Republican","State Representative","House District 48","","Active","25208"
"Carr, Stephen","Democrat","State Representative","House District 104","","Active","25332"
"Carroll, Perryn","Democrat","Circuit Court Judge","10Th Judicial Circuit","10","Active","25460"
"Carter, John","Republican","State Senator","Senate District 27","","Active","25664"
"Carver, Sheri","Democrat","District Court Judge","Cherokee County","1","Active","25606"
"Casey, Willie","Republican","State Representative","House District 53","","Active","25374"
"Caster, Latunja","Democrat","Revenue Commissioner","Washington County","","Active","25691"
"Cavnar, Randal","Republican","Sheriff","Morgan County","","Active","25456"
"Chambers, Eddie","Democrat","County Board Of Education","Henry County","2","Active","25690"
"Chambliss, Clyde","Republican","State Senator","Senate District 30","","Active","25433"
"Chandler, Franklin","Republican","State Senator","Senate District 21","","Active","25604"
"Cheatham, Rex","Democrat","State Representative","House District 8","","Active","25637"
"Chesteen, Donnie","Republican","State Representative","House District 87","","Active","25350"
"Childers, Suzanne","Republican","District Court Judge","Jefferson County","1","Active","25496"
"Chunn, Jeffrey","Republican","County Coroner","Morgan County","","Active","25481"
"Clark, Douglas","Republican","State Representative","House District 43","","Active","25307"
"Clark, Shannon","Republican","Circuit Court Judge","12Th Judicial Circuit","2","Active","25515"
"Clarkbanks, Anthony","Republican","State Representative","House District 102","","Active","25665"
"Clarke, Adline","Democrat","State Representative","House District 97","","Active","25346"
"Clements, James","Republican","State Representative","House District 62","","Active","25320"
"Clemmons, James","Democrat","State Senator","Senate District 8","","Active","25326"
"Clouse, Steve","Republican","State Representative","House District 93","","Active","25057"
"Coates, Richard","Democrat","County Commissioner","Colbert County","","Active","25737"
"Cochran, Ginger","Republican","State Board Of Education","District 8","","Active","25676"
"Cochran, Richard","Republican","State Senator","Senate District 17","","Active","25645"
"Cochran, Samuel","Republican","Sheriff","Mobile County","","Active","25482"
"Cole, John","Republican","Circuit Court Judge","10Th Judicial Circuit","3","Active","25613"
"Coleman, Linda","Democrat","State Senator","Senate District 20","","Active","25025"
"Coleman, Merika","Democrat","State Representative","House District 57","","Active","25122"
"Coley, Cedric","Independent","State Representative","House District 69","","Active","25789"
"Collier, Jimmy","Republican","State Representative","House District 31","","Active","25292"
"Collins, Terri","Republican","State Representative","House District 8","","Active","25096"
"Colston, David","Democrat","State Representative","House District 69","","Active","25422"
"Comer, Christian","Republican","Circuit Court Judge","23Rd Judicial Circuit","6","Active","25337"
"Conaway, Lawrence","Democrat","State Representative","House District 54","","Active","25749"
"Cooke, Stanley","Republican","Lt. Governor","","","Active","25269"
"Copland, Theodore","Democrat","State Representative","House District 40","","Active","25501"
"Craig, Brent","Republican","District Court Judge","Morgan County","1","Active","25026"
"Crawfod, Arthur","Democrat","Probate Judge","Hale County","","Active","25544"
"Crowson, Daniel","Republican","District Court Judge","Shelby County","2","Active","25502"
"Crumpton, Ron","Democrat","State Senator","Senate District 11","","Active","25721"
"Cummings, Morris","Republican","County Commissioner","Winston County","","Active","25507"
"Curtis, Mike","Democrat","State Senator","Senate District 1","","Active","25646"
"D'Angelo, Joseph","Republican","District Court Judge","Mobile County","2","Active","25575"
"D'Olive, Harry","Republican","State Senator","Senate District 22","","Active","25413"
"Daniels, Anthony","Democrat","State Representative","House District 53","","Active","25095"
"Davis, Christopher","Democrat","State Representative","House District 59","","Active","25792"
"Davis, Nathan","Republican","State Representative","House District 104","","Active","25272"
"Davis, Randall","Republican","State Representative","House District 96","","Active","25189"
"Dean, Steve","Republican","State Representative","House District 35","","Active","25257"
"Dees, Mary","Democrat","Revenue Commissioner","Washington County","","Active","25700"
"Dees, Mary","Democrat","Revenue Commissioner","Washington County","","Active","25707"
"Demarco, Paul","Republican","State Representative","House District 46","","Active","25011"
"Dial, Gerald","Republican","State Senator","Senate District 13","","Active","25075"
"Dixon, Hallie","Republican","District Attorney","28Th Judicial Circuit","","Active","25570"
"Donaldson, William","Republican","Court Of Civil Appeals Judge","Place 2","","Active","25227"
"Doolittle, Beau","Democrat","State Senator","Senate District 35","","Active","25603"
"Drake, Dickie","Republican","State Representative","House District 45","","Active","25175"
"Draper, Tonta","Democrat","Sheriff","Talladega County","","Active","25781"
"Draper, Tonta","Democrat","Sheriff","Talladega County","","Active","25783"
"Drummond, Barbara","Democrat","State Representative","House District 103","","Active","25671"
"Dudley, Hugh","Republican","State Representative","House District 80","","Active","25634"
"Dunn, Priscilla","Democrat","State Senator","Senate District 19","","Active","25183"
"Dunn, Terry","Republican","Public Service Commissioner","Place 2","","Active","25488"
"Ellis, Charles","Republican","Sheriff","Marshall County","","Active","25600"
"England, Christopher","Democrat","State Representative","House District 70","","Active","25097"
"England, John","Democrat","Circuit Court Judge","6Th Judicial Circuit","4","Active","25112"
"Engle, Stephanie","Democrat","State Representative","House District 35","","Active","25649"
"Evans, Kathy","Republican","Revenue Commissioner","Autauga County","","Active","25426"
"Evans, Timothy","Democrat","District Court Judge","Hale County","1","Active","25453"
"Farley, Allen","Republican","State Representative","House District 15","","Active","25372"
"Faulkner, David","Republican","State Representative","House District 46","","Active","25595"
"Faust, Teddy","Republican","State Representative","House District 94","","Active","25188"
"Fears, Angela","Independent","State Representative","House District 32","","Active","25790"
"Fielding, Jerry","Republican","State Senator","Senate District 11","","Active","25056"
"Fields, James","Democrat","Lt. Governor","","","Active","25429"
"Figures, Vivian","Democrat","State Senator","Senate District 33","","Active","25126"
"Fincher, Chad","Republican","State Representative","House District 102","","Active","25186"
"Fincher, Robert","Republican","State Representative","House District 37","","Active","25418"
"Fletcher, Ginger","Republican","State Representative","House District 26","","Active","25631"
"Flott, Darren","Democrat","State Representative","House District 98","","Active","25500"
"Flowers, Steve","Republican","Public Service Commissioner","Place 2","","Active","25458"
"Floyd, J","Republican","Circuit Court Judge","28Th Judicial Circuit","3","Active","25098"
"Floyd, Mitchell","Republican","District Court Judge","Marshall County","1","Active","25457"
"Foley, Brian","Republican","State Representative","House District 61","","Active","25635"
"Folsom, Jim","Democrat","Lt. Governor","","","Active","25561"
"Ford, Jon","Democrat","State Representative","House District 28","","Active","25105"
"Ford, Vj","Democrat","County Commissioner","Jefferson County","3","Active","25720"
"Forte, Berry","Democrat","State Representative","House District 84","","Active","25165"
"Foster, Darius","Republican","State Representative","House District 56","","Active","25280"
"Franklin, Ana","Republican","Sheriff","Morgan County","","Active","25445"
"Freeman, Joseph","Republican","State Representative","House District 44","","Active","25394"
"French, Stephen","Republican","State Representative","House District 46","","Active","25398"
"Fridy, Matthew","Republican","State Representative","House District 73","","Active","24997"
"Fuller, Bill","Independent","State Senator","Senate District 13","","Active","25788"
"Furr, Alan","Republican","District Court Judge","St Clair County","1","Active","25513"
"Gaines, J.R.","Democrat","Circuit Court Judge","15Th Judicial Circuit","","Active","24938"
"Gann, Jamie","Republican","County Commissioner","Marion County","","Active","25628"
"Garner, Paul","Republican","State Senator","Senate District 30","","Active","25341"
"Garner, William","Republican","District Court Judge","Dale County","1","Active","25591"
"Garrett, John","Republican","State Representative","House District 44","","Active","25030"
"Gaskin, Rhonda","Democrat","State Senator","Senate District 7","","Active","25708"
"Gaston, Victor","Republican","State Representative","House District 100","","Active","25070"
"Gear, Gayle","Republican","State Senator","Senate District 17","","Active","25661"
"Gentry, Kevin","Republican","Sheriff","Cullman County","","Active","25430"
"George, Stacy","Republican","Governor","","","Active","25250"
"Givan, Juandalynn","Democrat","State Representative","House District 60","","Active","25448"
"Gladden, Michael","Democrat","State Representative","House District 29","","Active","25311"
"Glover, Benjamin","Republican","State Senator","Senate District 34","","Active","25284"
"Goggans, James","Republican","District Court Judge","Elmore County","2","Active","25454"
"Graben, Alan","Republican","Revenue Commissioner","Marshall County","","Active","25650"
"Graffeo, Michael G","Democrat","Circuit Court Judge","10Th Judicial Circuit","8","Active","25565"
"Graham, Kitty","Republican","County Board Of Education","Elmore County","","Active","25524"
"Grant, Loretta","Republican","State Representative","House District 69","","Active","25820"
"Green, Jim","Democrat","State Representative","House District 23","","Active","25039"
"Green, Robert","Democrat","State Senator","Senate District 23","","Active","25473"
"Greer, Bayless","Republican","State Representative","House District 2","","Active","25266"
"Greeson, Todd","Republican","State Senator","Senate District 8","","Active","25017"
"Griffith, Parker","Democrat","Governor","","","Active","25697"
"Griggs, Jim","Republican","County Commissioner","Henry County","","Active","25663"
"Griggs, Michael","Republican","State Representative","House District 31","","Active","25358"
"Grimes, David","Republican","State Representative","House District 77","","Active","25587"
"Grimsley, William","Democrat","State Representative","House District 85","","Active","25285"
"Guede, Steven","Republican","State Senator","Senate District 12","","Active","25674"
"Hadder, Lowell","Republican","Sheriff","Walker County","","Active","25706"
"Haddock, Steven","Republican","Circuit Court Judge","8Th Judicial Circuit","3","Active","25551"
"Hall, Karen","Republican","Circuit Court Judge","23Rd Judicial Circuit","1","Active","25504"
"Hall, Laura","Democrat","State Representative","House District 19","","Active","25107"
"Hammon, Micky","Republican","State Representative","House District 4","","Active","25352"
"Hanes, James","Republican","State Representative","House District 23","","Active","25617"
"Harbison, Corey","Republican","State Representative","House District 12","","Active","25436"
"Hardwick, Johnny","Democrat","Circuit Court Judge","15Th Judicial Circuit","9","Active","25283"
"Hardy, Handley","Democrat","County Superintendent Of Education","St. Clair County","","Active","25692"
"Hardy, John","Republican","County Commissioner","Tallapoosa County","","Active","25712"
"Harper, Samuel","Republican","State Representative","House District 61","","Active","25124"
"Harris, William","Republican","State Senator","Senate District 30","","Active","25696"
"Harvey, Curtis","Democrat","County Commissioner","Houston County","1","Active","25761"
"Hasting, Melvin","Republican","State Representative","House District 9","","Active","25683"
"Hawk, Howard","Independent","Circuit Court Judge","27Th Judicial Circuit","2","Active","25333"
"Hawsey, Tracy","Democrat","Sheriff","Conecuh County","","Active","25581"
"Head, Gary","Republican","State Representative","House District 83","","Active","25651"
"Henderson, Linda","Democrat","District Court Judge","Macon County","1","Active","25639"
"Hendrix, Terry","Republican","County Commissioner","Cleburne County","3","Active","25678"
"Henry, William","Republican","State Representative","House District 9","","Active","25312"
"Herren, Victor","Republican","County Superintendent Of Education","Fayette County","","Active","25657"
"Hester, Randy","Democrat","County Board Of Education","Franklin County","3","Active","25740"
"Hickman, Walton","Democrat","State Representative","House District 90","","Active","25655"
"Higgins, Pamela","Democrat","District Court Judge","Montgomery County","2","Active","25117"
"Hightower, Bill","Republican","State Senator","Senate District 35","","Active","25013"
"Hightower, Susan","Republican","State Representative","House District 104","","Active","25305"
"Hill, Jim","Republican","State Representative","House District 50","","Active","25403"
"Hill, Mike","Republican","State Representative","House District 41","","Active","25142"
"Hill, Stanley","Republican","County Commissioner","Limestone County","","Active","25614"
"Hobbs, Truman","Democrat","Circuit Court Judge","15Th Judicial Circuit","7","Active","25559"
"Hodges, Wesley","Democrat","State Representative","House District 71","","Active","25580"
"Holley, Jimmy","Republican","State Senator","Senate District 31","","Active","25291"
"Holmes, Mike","Republican","State Representative","House District 31","","Active","25328"
"Holt, Jenifer","Democrat","Circuit Court Judge","38Th Judicial Circuit","2","Active","25490"
"Holtzclaw, William","Republican","State Senator","Senate District 2","","Active","24998"
"Hopkins, Billy","Republican","County Superintendent Of Education","Morgan County","","Active","25574"
"Horn, Christopher","Republican","State Representative","House District 53","","Active","25802"
"Howard, Ralph","Democrat","State Representative","House District 72","","Active","25368"
"Howell, Brian","Republican","Circuit Court Judge","7Th Judicial Circuit","2","Active","25522"
"Howell, Jennifer","Republican","Circuit Court Judge","8Th Judicial Circuit","2","Active","25554"
"Howell, Joe","Republican","County Commissioner","Geneva County","","Active","25535"
"Hubbard, Joseph","Democrat","Attorney General","","","Active","25675"
"Hubbard, Michael","Republican","State Representative","House District 79","","Active","25032"
"Hughes, Christopher","Republican","Circuit Court Judge","37Th Judicial Circuit","2","Active","25538"
"Hughey, James","Democrat","Circuit Court Judge","10Th Judicial Circuit","9","Active","25516"
"Humphryes, Bobby","Republican","State Representative","House District 16","","Active","25573"
"Hunter, Mary Scott","Republican","State Board Of Education","District 8","","Active","24941"
"Hurst, Stephen (Steve)","Republican","State Representative","House District 35","","Active","25214"
"Hutchins, Michael","Republican","County Commissioner","Limestone County","","Active","25684"
"Ingram, Jeffrey","Democrat","County Commissioner","Etowah County","1","Active","25782"
"Ingram, Robert","Republican","State Representative","House District 75","","Active","25420"
"Irons, Tammy","Democrat","State Senator","Senate District 1","","Active","25357"
"Ison, Jamie","Republican","State Representative","House District 101","","Active","25485"
"Ivey, Kay","Republican","Lt. Governor","","","Active","25118"
"Ivey, Wyndall","Democrat","Circuit Court Judge","10Th Judicial Circuit","10","Active","25588"
"Jackson, Jeremy","Republican","Sheriff","Escambia County","","Active","25710"
"James, John","Democrat","County Coroner","Franklin County","","Active","25669"
"Johnson, Albert","Democrat","Circuit Court Judge","26Th Judicial Circuit","2","Active","25527"
"Johnson, Anthony","Democrat","State Representative","House District 53","","Active","25347"
"Johnson, Ken","Republican","State Representative","House District 7","","Active","25240"
"Johnson, Michael","Republican","Revenue Commissioner","Marshall County","","Active","25548"
"Johnson, Ronald","Republican","State Representative","House District 33","","Active","25376"
"Johnson, Wayne","Republican","State Representative","House District 22","","Active","24936"
"Joly, Fred","Republican","State Representative","House District 3","","Active","25401"
"Jones, C.","Democrat","State Representative","House District 21","","Active","25378"
"Jones, Heath","Republican","State Representative","House District 39","","Active","25679"
"Jones, Michael","Republican","State Representative","House District 92","","Active","25209"
"Jones-Osborne, Lillie","Democrat","District Court Judge","Greene County","17","Active","25533"
"Jones-Osborne, Lillie","Democrat","District Court Judge","Greene County","17","Active","25576"
"Joseph, Miranda","Democrat","State Auditor","","","Active","25040"
"Josey, Suzelle","Republican","State Senator","Senate District 30","","Active","25367"
"Joyner, Danny","Republican","State Senator","Senate District 22","","Active","25427"
"Keahey, Marc","Democrat","State Senator","Senate District 22","","Active","25698"
"Kelley, Jeffery","Republican","Circuit Court Judge","12Th Judicial Circuit","3","Active","25475"
"Kellum, Elizabeth","Republican","Court Of Criminal Appeals Judge","Place 2","","Active","25469"
"Kelly, Guy","Independent","State Representative","House District 37","","Active","25796"
"King, Brett","Republican","State Senator","Senate District 17","","Active","25659"
"King, Steven","Republican","Circuit Court Judge","41St Judicial Circuit","1","Active","25536"
"Knight, John","Democrat","State Representative","House District 77","","Active","25141"
"Lachine, Leigh","Independent","State Senator","Senate District 20","","Active","25402"
"Langham, Charles","Republican","District Court Judge","Morgan County","3","Active","25486"
"Lawley, William","Republican","District Court Judge","Jefferson County","2","Active","25633"
"Lawrence, Kelvin","Democrat","State Representative","House District 69","","Active","25632"
"Ledbetter, Nathaniel","Republican","State Representative","House District 24","","Active","25313"
"Lee, Arthur","Democrat","State Representative","House District 60","","Active","25728"
"Lee, Paul","Republican","State Representative","House District 86","","Active","25247"
"Letson, John","Democrat","State Representative","House District 7","","Active","25809"
"Lewis, Bobby","Republican","State Representative","House District 85","","Active","25542"
"Lindsey, Richard","Democrat","State Representative","House District 39","","Active","25236"
"Lisenby, Philip","Republican","Circuit Court Judge","6Th Judicial Circuit","6","Active","25525"
"Livingston, Steve","Republican","State Senator","Senate District 8","","Active","25351"
"Logan-Russell, April","Democrat","Circuit Court Judge","26Th Judicial Circuit","2","Active","25778"
"Long, Oliver","Republican","State Representative","House District 27","","Active","25223"
"Love, Jay","Republican","State Representative","House District 74","","Active","25309"
"Major, Eric","Democrat","State Representative","House District 55","","Active","25780"
"Malone, Chuck","Republican","Circuit Court Judge","6Th Judicial Circuit","5","Active","25520"
"Mancuso, Angelo","Democrat","State Senator","Senate District 4","","Active","25760"
"Mann, Alan","Republican","Circuit Court Judge","23Rd Judicial Circuit","7","Active","25455"
"Mann, Buford","Republican","Tax Assessor","Madison County","","Active","25365"
"Marchman, Garry","Republican","County Commissioner","Cullman County","","Active","25601"
"Marsden, Jennifer","Democrat","State Representative","House District 93","","Active","25246"
"Marsh, Del","Republican","State Senator","Senate District 12","","Active","25318"
"Marshall, Steven","Republican","District Attorney","27Th Judicial Circuit","","Active","25459"
"Martin, James","Republican","State Representative","House District 42","","Active","25586"
"Massey, Matthew","Republican","County Superintendent Of Education","Madison County","","Active","25765"
"Mastin, John","Republican","District Court Judge","Marshall County","2","Active","25233"
"Maxwell, Sharon","Republican","License Commissioner","Morgan County","","Active","25599"
"Mayfield, James","Republican","County Coroner","Cleburne County","","Active","25506"
"Mcadory, Lawrence","Democrat","State Representative","House District 56","","Active","25727"
"Mccampbell, Artis","Democrat","State Representative","House District 71","","Active","25195"
"Mccarty, Cynthia","Republican","State Board Of Education","District 6","","Active","25428"
"Mcclammy, Thad","Democrat","State Representative","House District 76","","Active","25389"
"Mcclendon, Jim","Republican","State Senator","Senate District 11","","Active","25093"
"Mcclendon, Melinda","Republican","State Senator","Senate District 29","","Active","25377"
"Mccutcheon, Mac","Republican","State Representative","House District 25","","Active","25162"
"Mcdonald, Regina","Republican","State Representative","House District 43","","Active","25685"
"Mcferrin, Jim","Republican","Circuit Court Judge","10Th Judicial Circuit","10","Active","25641"
"Mcgee, Terry","Republican","County Superintendent Of Education","Bibb County","","Active","25653"
"Mcgill, Shadrack","Republican","Revenue Commissioner","Jackson County","","Active","25730"
"Mcgilvray, Jerry","Republican","State Representative","House District 84","","Active","25771"
"Mcgriff, Patricia","Republican","State Board Of Education","District 6","","Active","25626"
"Mcintyre, Christopher","Republican","District Court Judge","Calhoun County","2","Active","25523"
"Mckinney, Reese","Republican","Secretary Of State","","","Active","25053"
"Mclaughlin, Jeffrey","Democrat","State Representative","House District 27","","Active","25668"
"Mclemore, Lucie","Republican","District Court Judge","Elmore County","1","Active","25589"
"Mcmillan, John","Republican","Commissioner Of Agriculture & Industries","","","Active","25061"
"Mcmillan, Stephen","Republican","State Representative","House District 95","","Active","25145"
"Mcneil, Christopher","Republican","State Representative","House District 102","","Active","25759"
"Meadows, Charlotte","Republican","State Representative","House District 74","","Active","25185"
"Means, Larry","Democrat","State Senator","Senate District 10","","Active","25629"
"Meeks, Dennis","Republican","Sheriff","Covington County","","Active","25667"
"Melson, Timothy","Republican","State Senator","Senate District 1","","Active","25622"
"Melton, Darrio","Democrat","State Representative","House District 67","","Active","24939"
"Mendheim, Brad","Republican","Circuit Court Judge","20Th Judicial Circuit","5","Active","25476"
"Merrill, John","Republican","Secretary Of State","","","Active","24996"
"Michael, Max","Democrat","County Commissioner","Jefferson County","","Active","25491"
"Miller Lacher, Peggy","Republican","Circuit Court Judge","7Th Judicial Circuit","","Active","24894"
"Millican, Michael","Republican","State Representative","House District 17","","Active","25412"
"Minor, Richard","Republican","District Attorney","30Th Judicial Circuit","","Active","25348"
"Minor, Robert","Republican","District Court Judge","St Clair County","2","Active","25238"
"Minus, Taylor","Independent","State Senator","Senate District 24","","Active","25795"
"Mitchell, Joseph","Democrat","State Representative","House District 103","","Active","25545"
"Mobley, Wesley","Republican","District Court Judge","Cherokee County","1","Active","25411"
"Montgomery, Tammy","Democrat","District Court Judge","Sumter County","1","Active","25492"
"Mooney, Arnold","Republican","State Representative","House District 43","","Active","25425"
"Moore, Felix","Republican","State Representative","House District 91","","Active","25239"
"Moore, Mary","Democrat","County Board Of Education","Colbert County","","Active","25558"
"Moore, Mary","Democrat","State Representative","House District 59","","Active","25353"
"Moore, Sheila","Republican","Probate Judge","Winston County","","Active","25498"
"Moore, Thomas","Democrat","State Representative","House District 72","","Active","25421"
"Moore, William","Republican","State Senator","Senate District 31","","Active","25414"
"Morgan, Bryan","Independent","State Senator","Senate District 30","","Active","25779"
"Morrow, Johnny","Democrat","State Representative","House District 18","","Active","25197"
"Muhammad, Lateefah","Democrat","District Court Judge","Macon County","1","Active","25733"
"Murphree, Jim","Republican","State Senator","Senate District 17","","Active","25670"
"Murphy, Donald","Republican","State Representative","House District 43","","Active","25656"
"Neighbors, Douglas","Constitution","County Coroner","Elmore County","","Active","25763"
"Newton, Charles","Democrat","State Representative","House District 90","","Active","25106"
"Nordgren, Becky","Republican","State Representative","House District 29","","Active","25163"
"Norman, Carnella","Democrat","District Court Judge","Jefferson County","3","Active","25563"
"Norton, Charles","Republican","Circuit Court Judge","28Th Judicial Circuit","1","Active","25541"
"Oden, Jeremy","Republican","Public Service Commissioner","Place 1","","Active","25002"
"Oliver, Dylan","Democrat","State Representative","House District 81","","Active","25741"
"Orr, Arthur","Republican","State Senator","Senate District 3","","Active","25074"
"Owens, Shanta","Democrat","District Court Judge","Jefferson County","2","Active","25483"
"Parsons, Kenneth","Republican","State Board Of Education","District 8","","Active","25553"
"Patterson, George","Republican","Revenue Commissioner","Covington County","","Active","25680"
"Patterson, James","Republican","State Representative","House District 21","","Active","25204"
"Patterson, Otis","Republican","County Commissioner","Calhoun County","","Active","25512"
"Patterson, Sonya","Democrat","License Commissioner","Morgan County","","Active","25640"
"Peacock, William","Republican","State Senator","Senate District 22","","Active","25701"
"Perdue, Jim","Republican","Secretary Of State","","","Active","25023"
"Peters, Mary","Republican","State Board Of Education","District 2","","Active","25713"
"Peters, Meredith","Republican","Revenue Commissioner","Covington County","","Active","25682"
"Peterson, Mary","Republican","Public Service Commissioner","Place 1","","Active","25625"
"Pettaway, Collins","Democrat","Circuit Court Judge","4Th Judicial Circuit","1","Active","25314"
"Pettus, Phillip","Republican","State Representative","House District 1","","Active","25687"
