"name","_id","type","status","party","office","district","place","phone","email","url","photoURL","facebookID","twitterID"
"Singleton, Bobby","25297","Candidate","Active","Democrat","State Senator","Senate District 24","","(334) 242-7935","BSingle164@yahoo.com","http://www.legislature.state.al.us/senate/senators/senatebios/sd024.html","http://www.legislature.state.al.us/graphics/senatepics/singleton_b.jpeg","",""
"Boothe, Alan","25338","Candidate","Active","Republican","State Representative","House District 89","","(334) 242-7710","alan.boothe@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd089.html","http://www.legislature.state.al.us/graphics/housepics/boothe_a.jpeg","",""
"Ford, Jon","25105","Candidate","Active","Democrat","State Representative","House District 28","","","","","","",""
"Warren, Pebblin","25172","Candidate","Active","Democrat","State Representative","House District 82","","(334) 242-7734","tiger9127@bellsouth.net","http://www.legislature.state.al.us/house/representatives/housebios/hd082.html","http://www.legislature.state.al.us/graphics/housepics/warren_p.jpeg","pebblin.warren",""
"Chesteen, Donnie","25350","Candidate","Active","Republican","State Representative","House District 87","","(334) 242-7742","dchesteen@panhandle.rr.com","http://www.legislature.state.al.us/house/representatives/housebios/hd087.html","http://www.legislature.state.al.us/graphics/housepics/chesteen_d.jpg","",""
"Price, Randy","25375","Candidate","Active","Republican","State Representative","House District 38","","","","","","",""
"Mccutcheon, Mac","25162","Candidate","Active","Republican","State Representative","House District 25","","(334) 242-7705","c.mac.mccutcheon@gmail.com","http://www.legislature.state.al.us/house/representatives/housebios/hd025.html","http://www.legislature.state.al.us/graphics/housepics/mccutcheon_m.jpeg","",""
"Lee, Paul","25247","Candidate","Active","Republican","State Representative","House District 86","","(334) 242-7675","pwlee@graceba.net","http://www.legislature.state.al.us/house/representatives/housebios/hd086.html","http://www.legislature.state.al.us/graphics/housepics/lee_p.jpg","",""
"Scott, Roderick","25442","Candidate","Active","Democrat","State Representative","House District 55","","(334) 242-7752","scotthrod@yahoo.com","http://www.legislature.state.al.us/house/representatives/housebios/hd055.html","http://www.legislature.state.al.us/graphics/housepics/scott_r.jpeg","roderick.scott.7758",""
"Fielding, Jerry","25056","Candidate","Active","Republican","State Senator","Senate District 11","","(334) 242-7898","jerry.fielding@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd011.html","","",""
"Hammon, Micky","25352","Candidate","Active","Republican","State Representative","House District 4","","(334) 242-7709","info@mocold.com","http://www.legislature.state.al.us/house/representatives/housebios/hd004.html","http://www.legislature.state.al.us/graphics/housepics/hammon_m.jpeg","171099656324812",""
"Waggoner, James","25054","Candidate","Active","Republican","State Senator","Senate District 16","","(334) 242-7892","jabo.waggoner@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd016.html","http://www.legislature.state.al.us/graphics/senatepics/waggoner.jpg","",""
"Rogers, John","25354","Candidate","Active","Democrat","State Representative","House District 52","","(334) 242-7761","yke@cec.conteduc.uab.edu","http://www.legislature.state.al.us/house/representatives/housebios/hd052.html","http://www.legislature.state.al.us/graphics/housepics/rogers_j.jpeg","",""
"Mann, Buford","25365","Candidate","Active","Republican","Tax Assessor","Madison County","","","","","","",""
"Beech, Elaine","24915","Candidate","Active","Democrat","State Representative","House District 65","","(334) 242-7702","elainebeech83@gmail.com","http://www.legislature.state.al.us/house/representatives/housebios/hd065.html","http://www.legislature.state.al.us/graphics/housepics/beech_e.jpeg","elaine.h.beech",""
"Chambliss, Clyde","25433","Candidate","Active","Republican","State Senator","Senate District 30","","","","","","",""
"Fields, James","25429","Candidate","Active","Democrat","Lt. Governor","","","","","","","",""
"Ball, Mike","24942","Candidate","Active","Republican","State Representative","House District 10","","(334) 242-7683","mikeball@knology.net","http://www.legislature.state.al.us/house/representatives/housebios/hd010.html","http://www.legislature.state.al.us/graphics/housepics/ball_m.jpeg","",""
"Hunter, Mary Scott","24941","Candidate","Active","Republican","State Board Of Education","District 8","","","","","","",""
"Wilcox, Julia","25294","Candidate","Active","Republican","State Representative","House District 104","","","","","","",""
"Mckinney, Reese","25053","Candidate","Active","Republican","Secretary Of State","","","","","","","",""
"Foster, Darius","25280","Candidate","Active","Republican","State Representative","House District 56","","","","","","",""
"Seibert, Chris","25336","Candidate","Active","Republican","State Senator","Senate District 1","","","","","","",""
"Cooke, Stanley","25269","Candidate","Active","Republican","Lt. Governor","","","","","","","",""
"Baughn, Richard","25310","Candidate","Active","Republican","State Representative","House District 14","","","rgbups@gmail.com","http://www.legislature.state.al.us/house/representatives/housebios/hd014.html","","",""
"Bentley, Robert","24965","Candidate","Active","Republican","Governor","","","(334) 242-7100","","http://governor.alabama.gov/","http://governor.alabama.gov/assets/2013/08/Robert-Bentley.jpg","RobertBentley2010","GovernorBentley"
"Harper, Samuel","25124","Candidate","Active","Republican","State Representative","House District 61","","","","","","",""
"Henry, William","25312","Candidate","Active","Republican","State Representative","House District 9","","","","","","",""
"Alabama Trucking Association","24907","PAC","","","","","","","","","","",""
"Archipac","25034","PAC","","","","","","","","","","",""
"Coalbed Methane Association Of Alabama PAC","24883","PAC","","","","","","","","","","",""
"Forestry Political Action Committee","24882","PAC","","","","","","","","","","",""
"Franklin PAC","25224","PAC","","","","","","","","","","",""
"Progresspac","24888","PAC","","","","","","","","","","",""
"Retailers Of Alabama","25009","PAC","","","","","","","","","","",""
"Trust Representing Involved Alabama Lawyers","25080","PAC","","","","","","","","","","",""
"Wlpa PAC","24947","PAC","","","","","","","","","","",""
"Sanford, Paul","25265","Candidate","Active","Republican","State Senator","Senate District 7","","(334) 242-7867","paul.sanford@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd007.html","http://www.legislature.state.al.us/graphics/senatepics/sanford_p.jpeg","",""
"Turner, James","25300","Candidate","Active","Democrat","State Senator","Senate District 13","","","","","","",""
"Ainsworth, William","25435","Candidate","Active","Republican","State Representative","House District 27","","","","","","",""
"Mcclendon, Jim","25093","Candidate","Active","Republican","State Senator","Senate District 11","","","","","","",""
"Shiver, Harry","25146","Candidate","Active","Republican","State Representative","House District 64","","(334) 242-7745","harryshiver@aol.com","http://www.legislature.state.al.us/house/representatives/housebios/hd064.html","http://www.legislature.state.al.us/graphics/housepics/shiver_h.jpeg","",""
"Smitherman, Rodger","25071","Candidate","Active","Democrat","State Senator","Senate District 18","","(334) 242-7870","rodger.smitherman@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd018.html","http://www.legislature.state.al.us/graphics/senatepics/smitherman_r.jpeg","",""
"Wallace, Aubrey","25232","Candidate","Active","Republican","State Representative","House District 42","","(334) 242-7772","representativewallace@gmail.com","http://www.legislature.state.al.us/house/representatives/housebios/hd042.html","","",""
"Lindsey, Richard","25236","Candidate","Active","Democrat","State Representative","House District 39","","(334) 242-7713","richard.lindsey@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd039.html","http://www.legislature.state.al.us/graphics/housepics/lindsey_r.jpeg","richard.lindsey.397",""
"Brown, Koven","25036","Candidate","Active","Republican","State Representative","House District 40","","","","","","",""
"Hill, Jim","25403","Candidate","Active","Republican","State Representative","House District 50","","","","","","",""
"Pinkston, Patrick","25373","Candidate","Active","Republican","District Court Judge","Elmore County","1","","","","","",""
"Beckman, Paul","25154","Candidate","Active","Republican","State Representative","House District 88","","(334) 242-7499","paulbeckmanjr@yahoo.com","http://www.legislature.state.al.us/house/representatives/housebios/hd088.html","http://www.legislature.state.al.us/graphics/housepics/beckman_p.jpg","",""
"Michael, Max","25491","Candidate","Active","Democrat","County Commissioner","Jefferson County","","","","","","",""
"Weaver, April","24943","Candidate","Active","Republican","State Representative","House District 49","","(334) 242-7731","april.weaver@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd049.html","http://www.legislature.state.al.us/graphics/housepics/weaver_a.jpg","",""
"Walker, Melody","25466","Candidate","Active","Republican","District Court Judge","Cleburne County","1","","","","","",""
"Poole, William","24994","Candidate","Active","Republican","State Representative","House District 63","","(334) 242-7624","poole@gpr-law.com","http://www.legislature.state.al.us/house/representatives/housebios/hd063.html","http://www.legislature.state.al.us/graphics/housepics/poole_b.jpg","GoBillPoole",""
"Sanderford, James","24925","Candidate","Active","Republican","State Representative","House District 20","","","","","","",""
"Morrow, Johnny","25197","Candidate","Active","Democrat","State Representative","House District 18","","(334) 242-7698","johnny.morrow@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd018.html","http://www.legislature.state.al.us/graphics/housepics/morrow_j.jpeg","johnnymackmorrow",""
"Thompson, Adam","24884","Candidate","Active","Republican","State Auditor","","","","","","","",""
"Action Jackson, Thomas","25079","Candidate","Active","Democrat","State Representative","House District 68","","(334) 242-7738","thomas.jackson@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd068.html","http://www.legislature.state.al.us/graphics/housepics/jackson_t.jpeg","",""
"Aba Ii PAC","24927","PAC","","","","","","","","","","",""
"Aba PAC","24929","PAC","","","","","","","","","","",""
"Alabama Power Company Employees State Political Action Committee","25028","PAC","","","","","","","","","","",""
"Alabama Republican Executive Committee","24885","PAC","","","","","","","","","","",""
"First Citizens Bank","25132","PAC","","","","","","","","","","",""
"Roberts, William","24917","Candidate","Active","Republican","State Representative","House District 13","","(334) 242-7694","broberts1229@cs.com","http://www.legislature.state.al.us/house/representatives/housebios/hd013.html","","",""
"Moore, Mary","25353","Candidate","Active","Democrat","State Representative","House District 59","","(334) 242-7608","mamoor48@bellsouth.net","http://www.legislature.state.al.us/house/representatives/housebios/hd059.html","http://www.legislature.state.al.us/graphics/housepics/moore_m.jpeg","",""
"Butler, Mack","25038","Candidate","Active","Republican","State Representative","House District 30","","(334) 242-7446","mack.butler@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd030.html","http://www.legislature.state.al.us/graphics/housepics/Butler2_M.jpg","",""
"Mccarty, Cynthia","25428","Candidate","Active","Republican","State Board Of Education","District 6","","","","","","",""
"Clarke, Adline","25346","Candidate","Active","Democrat","State Representative","House District 97","","(334) 242-7600","adline.clark@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd097.html","","352274058213003",""
"Ballard, Patrick","25547","Candidate","Active","Democrat","Circuit Court Judge","10Th Judicial Circuit","10","","","","","",""
"Ingram, Robert","25420","Candidate","Active","Republican","State Representative","House District 75","","","","","","",""
"Mooney, Arnold","25425","Candidate","Active","Republican","State Representative","House District 43","","","","","","",""
"Carr, Stephen","25332","Candidate","Active","Democrat","State Representative","House District 104","","","","","","",""
"Mobley, Wesley","25411","Candidate","Active","Republican","District Court Judge","Cherokee County","1","","","","","",""
"Mcclammy, Thad","25389","Candidate","Active","Democrat","State Representative","House District 76","","(334) 242-7780","thad.mcclammy@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd076.html","http://www.legislature.state.al.us/graphics/housepics/mcclammy_t.jpeg","thad.mcclammy",""
"Fincher, Robert","25418","Candidate","Active","Republican","State Representative","House District 37","","","","","","",""
"Shaver, Amie Beth","25419","Candidate","Active","Republican","State Representative","House District 43","","","","","","",""
"Orr, Arthur","25074","Candidate","Active","Republican","State Senator","Senate District 3","","(334) 242-7891","senator@arthurorr.com","http://www.legislature.state.al.us/senate/senators/senatebios/sd003.html","http://www.legislature.state.al.us/graphics/senatepics/orr_a.jpeg","",""
"Sanders, Henry","25322","Candidate","Active","Democrat","State Senator","Senate District 23","","(334) 242-7860","","http://www.legislature.state.al.us/senate/senators/senatebios/sd023.html","http://www.legislature.state.al.us/graphics/senatepics/sanders_h.jpeg","",""
"Givan, Juandalynn","25448","Candidate","Active","Democrat","State Representative","House District 60","","(334) 242-7684","3007j@att.net","http://www.legislature.state.al.us/house/representatives/housebios/hd060.html","http://www.legislature.state.al.us/graphics/housepics/givan_j.jpg","",""
"Ivey, Kay","25118","Candidate","Active","Republican","Lt. Governor","","","(334) 242-7900","","http://ltgov.alabama.gov/","http://ltgov.alabama.gov/images/KayIveyBio-new.jpg","KayIveyAL","LtGovIvey"
"Burdine, Gregory","25229","Candidate","Active","Democrat","State Representative","House District 1","","(334) 242-7265","greg.burdine@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd001.html","","",""
"Buttram, Marvin","25144","Candidate","Active","Republican","State Representative","House District 12","","(334) 242-7775","mbuttram@att.net","http://www.legislature.state.al.us/house/representatives/housebios/hd012.html","","",""
"Mcmillan, Stephen","25145","Candidate","Active","Republican","State Representative","House District 95","","(334) 242-7723","bcld07@gmail.com","http://www.legislature.state.al.us/house/representatives/housebios/hd095.html","http://www.legislature.state.al.us/graphics/housepics/mcmillan_s.jpeg","",""
"Mcmillan, John","25061","Candidate","Active","Republican","Commissioner Of Agriculture & Industries","","","(334) 240-7100","john.mcmillan@agi.alabama.gov","http://agi.alabama.gov/","","",""
"Davis, Randall","25189","Candidate","Active","Republican","State Representative","House District 96","","(334) 242-7724","rmdavis14@aol.com","http://www.legislature.state.al.us/house/representatives/housebios/hd096.html","http://www.legislature.state.al.us/graphics/housepics/davis_r.jpeg","",""
"Collins, Terri","25096","Candidate","Active","Republican","State Representative","House District 8","","(334) 242-7693","terri@terricollins.org","http://www.legislature.state.al.us/house/representatives/housebios/hd008.html","http://www.legislature.state.al.us/graphics/housepics/collins_t.jpg","",""
"Bussman, Paul","25085","Candidate","Active","Republican","State Senator","Senate District 4","","(334) 242-7855","p_bussman@bellsouth.net","http://www.legislature.state.al.us/senate/senators/senatebios/sd004.html","http://www.legislature.state.al.us/graphics/senatepics/bussman_p.jpg","",""
"Holmes, Mike","25328","Candidate","Active","Republican","State Representative","House District 31","","(334) 242-7600","mike.holmes@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd031.html","http://www.legislature.state.al.us/graphics/housepics/Holmes_m.jpg","",""
"Gaston, Victor","25070","Candidate","Active","Republican","State Representative","House District 100","","(334) 242-7664","victor.gaston@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd100.html","http://www.legislature.state.al.us/graphics/housepics/gaston_v.jpeg","",""
"Jones, Michael","25209","Candidate","Active","Republican","State Representative","House District 92","","(334) 242-7739","mljatty@andycable.com","http://www.legislature.state.al.us/house/representatives/housebios/hd092.html","http://www.legislature.state.al.us/graphics/housepics/jones_m.jpg","repmikejones",""
"Bedford, Roger","24995","Candidate","Active","Democrat","State Senator","Senate District 6","","(334) 242-7862","senbedford@aol.com","http://www.legislature.state.al.us/senate/senators/senatebios/sd006.html","","",""
"England, Christopher","25097","Candidate","Active","Democrat","State Representative","House District 70","","(334) 242-7703","cengland1@hotmail.com","http://www.legislature.state.al.us/house/representatives/housebios/hd070.html","http://www.legislature.state.al.us/graphics/housepics/england_c.jpeg","cjengland1",""
"Millican, Michael","25412","Candidate","Active","Republican","State Representative","House District 17","","(334) 242-7534","mike.millican@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd017.html","http://www.legislature.state.al.us/graphics/housepics/millican_m.jpeg","",""
"Coleman, Linda","25025","Candidate","Active","Democrat","State Senator","Senate District 20","","(334) 242-7864","linda.coleman@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd020.html","http://www.legislature.state.al.us/graphics/senatepics/coleman_l.jpeg","linda.f.coleman",""
"Holley, Jimmy","25291","Candidate","Active","Republican","State Senator","Senate District 31","","(334) 242-7845","jimmy.holley@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd031.html","http://www.legislature.state.al.us/graphics/senatepics/holley_j.jpeg","",""
"Treadaway, Benjamin","25323","Candidate","Active","Republican","State Representative","House District 51","","","","","","",""
"Clouse, Steve","25057","Candidate","Active","Republican","State Representative","House District 93","","(334) 242-7717","steve.clouse@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd093.html","http://www.legislature.state.al.us/graphics/housepics/clouse_s.jpeg","",""
"Wheeler, David","25094","Candidate","Active","Republican","State Representative","House District 47","","","","","","",""
"Joly, Fred","25401","Candidate","Active","Republican","State Representative","House District 3","","","","","","",""
"Patterson, Otis","25512","Candidate","Active","Republican","County Commissioner","Calhoun County","","","","","","",""
"Mcclendon, Melinda","25377","Candidate","Active","Republican","State Senator","Senate District 29","","","","","","",""
"D'Olive, Harry","25413","Candidate","Active","Republican","State Senator","Senate District 22","","","","","","",""
"Ledbetter, Nathaniel","25313","Candidate","Active","Republican","State Representative","House District 24","","","","","","",""
"Harbison, Corey","25436","Candidate","Active","Republican","State Representative","House District 12","","","","","","",""
"Strange, Luther","24900","Candidate","Active","Republican","Attorney General","","","(334) 242-7300","","http://ago.alabama.gov/","","188648971170155",""
"Stedham, Brenda","25295","Candidate","Active","Republican","Circuit Court Judge","7Th Judicial Circuit","4","","","","","",""
"Abc Merit PAC","24892","PAC","","","","","","","","","","",""
"Abc Of North Alabama Merit PAC","25340","PAC","","","","","","","","","","",""
"Alabama Commissioners United Political Action Committee","25000","PAC","","","","","","","","","","",""
"Alabama Dental Political Action Committee","25190","PAC","","","","","","","","","","",""
"Alabama Grocers Association","24903","PAC","","","","","","","","","","",""
"Coca-Cola Refreshments Inc Usa, Inc. Nonpartisan Political Action Committee For Good Government","25064","PAC","","","","","","","","","","",""
"Farm PAC - The Political Action Committee Of The Alabama Farmers Federation","24982","PAC","","","","","","","","","","",""
"Madison County Republican Executive Committee","25275","PAC","","","","","","","","","","",""
"Sahr PAC","24902","PAC","","","","","","","","","","",""
"Daniels, Anthony","25095","Candidate","Active","Democrat","State Representative","House District 53","","","","","","",""
"Irons, Tammy","25357","Candidate","Active","Democrat","State Senator","Senate District 1","","(334) 242-7888","tammy@ironslawfirm.com","http://www.legislature.state.al.us/senate/senators/senatebios/sd001.html","","",""
"Glover, Benjamin","25284","Candidate","Active","Republican","State Senator","Senate District 34","","","","","","",""
"Bandy, George","25450","Candidate","Active","Democrat","State Representative","House District 83","","(334) 242-7721","george.bandy@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd083.html","http://www.legislature.state.al.us/graphics/housepics/bandy_g.jpeg","george.bandy.56",""
"Standridge, David","25024","Candidate","Active","Republican","State Representative","House District 34","","(334) 242-7475","david.standridge@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd034.html","http://www.legislature.state.al.us/graphics/housepics/standridge_d.jpg","",""
"Carns, Jim","25208","Candidate","Active","Republican","State Representative","House District 48","","(334) 242-7600","jwcarns@yahoo.com","http://www.legislature.state.al.us/house/representatives/housebios/hd048.html","http://www.legislature.state.al.us/graphics/housepics/carns_j.jpeg","",""
"Hurst, Stephen (Steve)","25214","Candidate","Active","Republican","State Representative","House District 35","","","","","","",""
"French, Stephen","25398","Candidate","Active","Republican","State Representative","House District 46","","","","","","",""
"Nordgren, Becky","25163","Candidate","Active","Republican","State Representative","House District 29","","(334) 353-9032","clearimagesal@earthlink.net","http://www.legislature.state.al.us/house/representatives/housebios/hd029.html","http://www.legislature.state.al.us/graphics/housepics/nordgren_b.jpg","",""
"Ross, Quinton","25192","Candidate","Active","Democrat","State Senator","Senate District 26","","(334) 242-7880","Quinton.ross@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd026.html","http://www.legislature.state.al.us/graphics/senatepics/ross_q.jpeg","",""
"Brewbaker, Dick","25159","Candidate","Active","Republican","State Senator","Senate District 25","","(334) 242-7895","dick.brewbaker@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd025.html","http://www.legislature.state.al.us/graphics/senatepics/brewbaker_d.jpeg","190593533859",""
"Adetunji, Tijuanna","25059","Candidate","Active","Republican","State Representative","House District 78","","","","","","",""
"Craig, Brent","25026","Candidate","Active","Republican","District Court Judge","Morgan County","1","","","","","",""
"Cavnar, Randal","25456","Candidate","Active","Republican","Sheriff","Morgan County","","","","","","",""
"Reed, Greg","25205","Candidate","Active","Republican","State Senator","Senate District 5","","(334) 242-7894","greg.reed@alsenate.gov","http://www.legislature.state.al.us/senate/senators/senatebios/sd005.html","http://www.legislature.state.al.us/graphics/senatepics/reed_g.jpg","",""
"Buskey, James","25156","Candidate","Active","Democrat","State Representative","House District 99","","(334) 242-7757","james.buskey@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd099.html","http://www.legislature.state.al.us/graphics/housepics/buskey_j.jpeg","james.buskey.7",""
"Williams, Jack","25237","Candidate","Active","Republican","State Representative","House District 47","","(334) 242-7779","jack@jackwilliams.org","http://www.legislature.state.al.us/house/representatives/housebios/hd047.html","http://www.legislature.state.al.us/graphics/housepics/williams_j.jpeg","",""
"Mccampbell, Artis","25195","Candidate","Active","Democrat","State Representative","House District 71","","(334) 242-7747","artis.mccampbell@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd071.html","http://www.legislature.state.al.us/graphics/housepics/mccampbell_aj.jpeg","artis.mccampbell",""
"Farley, Allen","25372","Candidate","Active","Republican","State Representative","House District 15","","(334) 242-7767","allenfarley@bellsouth.net","http://www.legislature.state.al.us/house/representatives/housebios/hd015.html","http://www.legislature.state.al.us/graphics/housepics/farley_a.jpg","204269692925652","RepAllenFarley"
"Ward, Cam","25007","Candidate","Active","Republican","State Senator","Senate District 14","","(334) 242-7873","camjulward@aol.com","http://www.legislature.state.al.us/senate/senators/senatebios/sd014.html","http://www.legislature.state.al.us/graphics/senatepics/ward_c.jpeg","cam.ward","SenCamWard"
"Black, Marcel","25342","Candidate","Active","Democrat","State Representative","House District 3","","(334) 242-7686","marcel.black@alhouse.org","http://www.legislature.state.al.us/house/representatives/housebios/hd003.html","http://www.legislature.state.al.us/graphics/housepics/black_m.jpeg","marcel.black.77",""
"Alabama 2014 PAC","24930","PAC","","","","","","","","","","",""
"Alabama Beef Political Action Committee","25207","PAC","","","","","","","","","","",""
"Cullman County Repbubican Party","25339","PAC","","","","","","","","","","",""
"Petroleum & Convenience Marketers Of Alabama PAC","25006","PAC","","","","","","","","","","",""
"Tucker PAC","25176","PAC","","","","","","","","","","",""
"Bracy, Napoleon","25119","Candidate","Active","Democrat","State Representative","House District 98","","(334) 242-7756","napoleon.bracy@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd098.html","http://www.legislature.state.al.us/graphics/housepics/bracy_n.jpg","napoleon.bracy",""
"Johnson, Ronald","25376","Candidate","Active","Republican","State Representative","House District 33","","(334) 242-7777","ronald.johnson@alhouse.gov","http://www.legislature.state.al.us/house/representatives/housebios/hd033.html","http://www.legislature.state.al.us/graphics/housepics/johnson_r.jpeg","",""
